char_end_full,char_end_generated,char_start_full,char_start_generated,is_answer,is_generated,is_reasoning,is_special,token_id,token_index,token_logprob,token_str
12,,0,,False,False,False,False,151644,0,,<|im_start|>
18,,12,,False,False,False,False,8948,1,-10.413604736328125,system
19,,18,,False,False,False,False,198,2,0.0,Ċ
22,,19,,False,False,False,False,2610,3,-0.00921413954347372,You
26,,22,,False,False,False,False,525,4,-1.5497195136049413e-06,Ġare
28,,26,,False,False,False,False,264,5,-0.0025673306081444025,Ġa
36,,28,,False,False,False,False,10950,6,-0.009672679007053375,Ġhelpful
46,,36,,False,False,False,False,17847,7,-0.012425275519490242,Ġassistant
47,,46,,False,False,False,False,13,8,-0.005772230681031942,.
54,,47,,False,False,False,False,21806,9,-11.90353012084961,ĠAnswer
58,,54,,False,False,False,False,279,10,-3.867997169494629,Ġthe
67,,58,,False,False,False,False,3405,11,-1.5719914436340332,Ġquestion
76,,67,,False,False,False,False,5961,12,-9.203119277954102,Ġdirectly
77,,76,,False,False,False,False,11,13,-2.210127353668213,","
82,,77,,False,False,False,False,448,14,-9.561429977416992,Ġwith
87,,82,,False,False,False,False,697,15,-5.588283538818359,Ġyour
93,,87,,False,False,False,False,1590,16,-0.02372809872031212,Ġfinal
103,,93,,False,False,False,False,34776,17,-26.1214656829834,Ġnumerical
110,,103,,False,False,False,False,4226,18,-1.3589766240329482e-05,Ġanswer
113,,110,,False,False,False,False,304,19,-4.984768390655518,Ġin
115,,113,,False,False,False,False,1124,20,-1.7033824920654297,Ġ\
120,,115,,False,False,False,False,79075,21,-0.00306160980835557,boxed
123,,120,,False,False,False,False,46391,22,-12.742291450500488,{}.
133,,123,,False,False,False,False,151645,23,-19.39682388305664,<|im_end|>
134,,133,,False,False,False,False,198,24,0.0,Ċ
146,,134,,False,False,False,False,151644,25,-0.13229389488697052,<|im_start|>
150,,146,,False,False,False,False,872,26,-11.481197357177734,user
151,,150,,False,False,False,False,198,27,-5.960462772236497e-07,Ċ
159,,151,,False,False,False,False,14582,28,-5.708839416503906,Question
160,,159,,False,False,False,False,25,29,-0.07203367352485657,:
166,,160,,False,False,False,False,53665,30,-10.354745864868164,ĠJanet
168,,166,,False,False,False,False,748,31,-5.735879898071289,âĢĻs
174,,168,,False,False,False,False,77778,32,-10.92892074584961,Ġducks
178,,174,,False,False,False,False,10962,33,-0.043825406581163406,Ġlay
179,,178,,False,False,False,False,220,34,-0.0462198443710804,Ġ
180,,179,,False,False,False,False,16,35,-0.027793265879154205,1
181,,180,,False,False,False,False,21,36,-11.29940414428711,6
186,,181,,False,False,False,False,18805,37,-0.09291806071996689,Ġeggs
190,,186,,False,False,False,False,817,38,-0.31602194905281067,Ġper
194,,190,,False,False,False,False,1899,39,-0.8338107466697693,Ġday
195,,194,,False,False,False,False,13,40,-0.015139787457883358,.
199,,195,,False,False,False,False,2932,41,-0.09227432310581207,ĠShe
204,,199,,False,False,False,False,49677,42,-7.010352611541748,Ġeats
210,,204,,False,False,False,False,2326,43,-14.532570838928223,Ġthree
214,,210,,False,False,False,False,369,44,-16.147214889526367,Ġfor
224,,214,,False,False,False,False,17496,45,-0.06601560115814209,Ġbreakfast
230,,224,,False,False,False,False,1449,46,-4.045248508453369,Ġevery
238,,230,,False,False,False,False,6556,47,-1.2016382217407227,Ġmorning
242,,238,,False,False,False,False,323,48,-0.2989859879016876,Ġand
244,,242,,False,False,False,False,293,49,-10.681417465209961,Ġb
248,,244,,False,False,False,False,2050,50,-0.00022003613412380219,akes
253,,248,,False,False,False,False,54304,51,-3.125758171081543,Ġmuff
256,,253,,False,False,False,False,1330,52,-9.047575440490618e-05,ins
260,,256,,False,False,False,False,369,53,-9.486912727355957,Ġfor
264,,260,,False,False,False,False,1059,54,-1.8586013317108154,Ġher
272,,264,,False,False,False,False,4780,55,-0.40245091915130615,Ġfriends
278,,272,,False,False,False,False,1449,56,-3.5797266960144043,Ġevery
282,,278,,False,False,False,False,1899,57,-0.9229763150215149,Ġday
287,,282,,False,False,False,False,448,58,-2.145514965057373,Ġwith
292,,287,,False,False,False,False,3040,59,-6.5657196044921875,Ġfour
293,,292,,False,False,False,False,13,60,-6.3788981437683105,.
297,,293,,False,False,False,False,2932,61,-2.195585012435913,ĠShe
303,,297,,False,False,False,False,30778,62,-2.3809776306152344,Ġsells
307,,303,,False,False,False,False,279,63,-0.014731441624462605,Ġthe
317,,307,,False,False,False,False,26313,64,-2.97814679145813,Ġremainder
320,,317,,False,False,False,False,518,65,-0.33374202251434326,Ġat
324,,320,,False,False,False,False,279,66,-1.8566490411758423,Ġthe
332,,324,,False,False,False,False,20336,67,-0.8640843033790588,Ġfarmers
333,,332,,False,False,False,False,6,68,-2.3945093154907227,'
340,,333,,False,False,False,False,3081,69,-1.728519782773219e-05,Ġmarket
346,,340,,False,False,False,False,7298,70,-11.08655834197998,Ġdaily
350,,346,,False,False,False,False,369,71,-2.121678352355957,Ġfor
352,,350,,False,False,False,False,400,72,-0.023437371477484703,Ġ$
353,,352,,False,False,False,False,17,73,-0.5319159030914307,2
357,,353,,False,False,False,False,817,74,-0.32202276587486267,Ġper
363,,357,,False,False,False,False,7722,75,-20.680316925048828,Ġfresh
368,,363,,False,False,False,False,35985,76,-5.054891586303711,Ġduck
372,,368,,False,False,False,False,18636,77,-0.0009478605352342129,Ġegg
373,,372,,False,False,False,False,13,78,-0.0031264969147741795,.
377,,373,,False,False,False,False,2585,79,-0.03696197643876076,ĠHow
382,,377,,False,False,False,False,1753,80,-0.005662828218191862,Ġmuch
385,,382,,False,False,False,False,304,81,-10.866288185119629,Ġin
393,,385,,False,False,False,False,11192,82,-1.9777437448501587,Ġdollars
398,,393,,False,False,False,False,1558,83,-0.005961849819868803,Ġdoes
402,,398,,False,False,False,False,1340,84,-0.010734906420111656,Ġshe
407,,402,,False,False,False,False,1281,85,-0.3794000446796417,Ġmake
413,,407,,False,False,False,False,1449,86,-4.747322082519531,Ġevery
417,,413,,False,False,False,False,1899,87,-0.045430272817611694,Ġday
420,,417,,False,False,False,False,518,88,-0.28791937232017517,Ġat
424,,420,,False,False,False,False,279,89,-5.328513361746445e-05,Ġthe
432,,424,,False,False,False,False,20336,90,-0.003253525821492076,Ġfarmers
433,,432,,False,False,False,False,6,91,-0.0026814716402441263,'
440,,433,,False,False,False,False,3081,92,-1.5497195136049413e-06,Ġmarket
441,,440,,False,False,False,False,30,93,-3.312544822692871,?
451,,441,,False,False,False,False,151645,94,-16.324329376220703,<|im_end|>
452,,451,,False,False,False,False,198,95,-1.9430925021879375e-05,Ċ
464,,452,,False,False,False,False,151644,96,-2.0189690589904785,<|im_start|>
473,,464,,False,False,False,False,77091,97,-22.02737045288086,assistant
474,,473,,False,False,False,False,198,98,-6.680105686187744,Ċ
477,3,474,0,True,True,True,False,10061,99,-0.31167566776275635,Let
479,5,477,3,True,True,True,False,594,100,-2.861018856492592e-06,'s
485,11,479,5,True,True,True,False,1438,101,-0.003427822608500719,Ġbreak
490,16,485,11,True,True,True,False,1495,102,-0.015508647076785564,Ġdown
494,20,490,16,True,True,True,False,279,103,-0.0009054613183252513,Ġthe
502,28,494,20,True,True,True,False,3491,104,-5.125986263010418e-06,Ġproblem
507,33,502,28,True,True,True,False,3019,105,-4.768370445162873e-07,Ġstep
510,36,507,33,True,True,True,False,553,106,-0.001989767886698246,Ġby
515,41,510,36,True,True,True,False,3019,107,-1.6689286894688848e-06,Ġstep
518,44,515,41,True,True,True,False,1447,108,-0.006508699618279934,:ĊĊ
519,45,518,44,True,True,True,False,16,109,-0.35808590054512024,1
520,46,519,45,True,True,True,False,13,110,0.0,.
523,49,520,46,True,True,True,False,3070,111,-2.7418097943154862e-06,Ġ**
528,54,523,49,True,True,True,False,7595,112,-0.21451468765735626,Total
533,59,528,54,True,True,True,False,18805,113,-6.079655122448457e-06,Ġeggs
538,64,533,59,True,True,True,False,17113,114,-0.00011216964776394889,Ġlaid
542,68,538,64,True,True,True,False,817,115,-9.298280929215252e-06,Ġper
546,72,542,68,True,True,True,False,1899,116,0.0,Ġday
549,75,546,72,True,True,True,False,95518,117,-0.02567044086754322,**:
550,76,549,75,True,True,True,False,220,118,-0.14267508685588837,Ġ
551,77,550,76,True,True,True,False,16,119,0.0,1
552,78,551,77,True,True,True,False,21,120,0.0,6
555,81,552,78,True,True,True,False,2303,121,-0.012128532864153385,ĠĠĊ
556,82,555,81,True,True,True,False,17,122,-7.152555099310121e-07,2
557,83,556,82,True,True,True,False,13,123,0.0,.
560,86,557,83,True,True,True,False,3070,124,-3.6954811548639555e-06,Ġ**
561,87,560,86,True,True,True,False,36,125,-0.0009348789462819695,E
562,88,561,87,True,True,True,False,70,126,-1.645074735279195e-05,g
564,90,562,88,True,True,True,False,5857,127,0.0,gs
570,96,564,90,True,True,True,False,53665,128,-0.29803866147994995,ĠJanet
575,101,570,96,True,True,True,False,49677,129,-1.4305104514278355e-06,Ġeats
579,105,575,101,True,True,True,False,369,130,-0.02118961699306965,Ġfor
589,115,579,105,True,True,True,False,17496,131,-3.576278118089249e-07,Ġbreakfast
592,118,589,115,True,True,True,False,95518,132,0.0,**:
593,119,592,118,True,True,True,False,220,133,0.0,Ġ
594,120,593,119,True,True,True,False,18,134,0.0,3
597,123,594,120,True,True,True,False,2303,135,0.0,ĠĠĊ
598,124,597,123,True,True,True,False,18,136,0.0,3
599,125,598,124,True,True,True,False,13,137,0.0,.
602,128,599,125,True,True,True,False,3070,138,0.0,Ġ**
603,129,602,128,True,True,True,False,36,139,-1.1920928244535389e-07,E
604,130,603,129,True,True,True,False,70,140,-7.152555099310121e-07,g
606,132,604,130,True,True,True,False,5857,141,0.0,gs
611,137,606,132,True,True,True,False,1483,142,-0.05833565443754196,Ġused
615,141,611,137,True,True,True,False,369,143,-0.2590157091617584,Ġfor
622,148,615,141,True,True,True,False,27815,144,-0.05493150278925896,Ġbaking
627,153,622,148,True,True,True,False,54304,145,0.0,Ġmuff
630,156,627,153,True,True,True,False,1330,146,-2.3841855067985307e-07,ins
633,159,630,156,True,True,True,False,95518,147,-4.0531076592742465e-06,**:
634,160,633,159,True,True,True,False,220,148,0.0,Ġ
635,161,634,160,True,True,True,False,19,149,0.0,4
638,164,635,161,True,True,True,False,2303,150,-0.04044594615697861,ĠĠĊ
639,165,638,164,True,True,True,False,19,151,-1.0371154530730564e-05,4
640,166,639,165,True,True,True,False,13,152,0.0,.
643,169,640,166,True,True,True,False,3070,153,0.0,Ġ**
644,170,643,169,True,True,True,False,36,154,-0.1513419896364212,E
645,171,644,170,True,True,True,False,70,155,-5.602679812000133e-05,g
647,173,645,171,True,True,True,False,5857,156,0.0,gs
657,183,647,173,True,True,True,False,9664,157,-0.27661824226379395,Ġremaining
661,187,657,183,True,True,True,False,369,158,-0.1676011085510254,Ġfor
666,192,661,187,True,True,True,False,6278,159,-0.009086212143301964,Ġsale
669,195,666,192,True,True,True,False,95518,160,-0.02810266613960266,**:
672,198,669,195,True,True,True,False,2303,161,-0.004577633924782276,ĠĠĊ
674,200,672,198,True,True,True,False,256,162,-7.152555099310121e-07,ĠĠ
676,202,674,200,True,True,True,False,400,163,-0.003769555827602744,Ġ$
677,203,676,202,True,True,True,False,220,164,-0.07674217224121094,Ġ
678,204,677,203,True,True,True,False,16,165,0.0,1
679,205,678,204,True,True,True,False,21,166,0.0,6
681,207,679,205,True,True,True,False,481,167,0.0,Ġ-
682,208,681,207,True,True,True,False,220,168,0.0,Ġ
683,209,682,208,True,True,True,False,18,169,0.0,3
685,211,683,209,True,True,True,False,481,170,-1.1920928244535389e-07,Ġ-
686,212,685,211,True,True,True,False,220,171,0.0,Ġ
687,213,686,212,True,True,True,False,19,172,0.0,4
689,215,687,213,True,True,True,False,284,173,0.0,Ġ=
690,216,689,215,True,True,True,False,220,174,0.0,Ġ
691,217,690,216,True,True,True,False,24,175,0.0,9
693,219,691,217,True,True,True,False,400,176,-1.0490362910786644e-05,Ġ$
698,224,693,219,True,True,True,False,18805,177,-0.00048375347978435457,Ġeggs
702,228,698,224,True,True,True,False,18611,178,-0.1605568528175354,ĠĠĊĊ
703,229,702,228,True,True,True,False,20,179,-3.015949550899677e-05,5
704,230,703,229,True,True,True,False,13,180,0.0,.
707,233,704,230,True,True,True,False,3070,181,-9.536697689327411e-06,Ġ**
708,234,707,233,True,True,True,False,50,182,-0.28926345705986023,S
714,240,708,234,True,True,True,False,6293,183,-0.013950692489743233,elling
720,246,714,240,True,True,True,False,3349,184,-1.1920928244535389e-07,Ġprice
724,250,720,246,True,True,True,False,817,185,-3.6477376852417365e-05,Ġper
728,254,724,250,True,True,True,False,18636,186,-2.8490614567999728e-05,Ġegg
731,257,728,254,True,True,True,False,95518,187,0.0,**:
733,259,731,257,True,True,True,False,400,188,-7.259582343976945e-05,Ġ$
734,260,733,259,True,True,True,False,17,189,0.0,2
738,264,734,260,True,True,True,False,18611,190,-0.17469918727874756,ĠĠĊĊ
739,265,738,264,True,True,True,False,21,191,-0.0005197366117499769,6
740,266,739,265,True,True,True,False,13,192,0.0,.
743,269,740,266,True,True,True,False,3070,193,0.0,Ġ**
748,274,743,269,True,True,True,False,7595,194,-0.23239900171756744,Total
754,280,748,274,True,True,True,False,3220,195,-0.09922138601541519,Ġmoney
759,285,754,280,True,True,True,False,1865,196,-0.01981242559850216,Ġmade
763,289,759,285,True,True,True,False,817,197,-0.15731380879878998,Ġper
767,293,763,289,True,True,True,False,1899,198,0.0,Ġday
