dataset,model,model_name,prompt_condition,sample_idx,trial,question,gold_numeric,prediction_numeric,accuracy,generation_seconds,output_tokens,latency_per_output_token,output_steps,finish_reason,boxed_answer_present,token_entropy_mean,token_entropy_slope,token_entropy_source,paraphrase_consistency,paraphrase_accuracy,paraphrase_count,perturbation_delta_accuracy,perturbation_accuracy,perturbation_count,mechanistic_anchor_accuracy,mechanistic_control_accuracy,mechanistic_intervention_delta_accuracy,mechanistic_anchor_count,mechanistic_control_count,mechanistic_available
GSM8K,instruct,Qwen3-4B-Instruct-2507-MLX-8bit,explicit_cot,0,1,Was ship that recovered Apollo 13 named after a World War II battle?,yes,yes,1,19.448360919952393,294,0.06615088748283127,21,stop,1,0.2846023926123516,0.0007980526099405593,mi,,,0,,,0,1.0,0.5,-0.5,4,2,1
GSM8K,instruct,Qwen3-4B-Instruct-2507-MLX-8bit,explicit_cot,1,1,Is the tibia necessary to win the Stanley Cup?,yes,no,0,26.424158811569214,426,0.06202854181119534,28,stop,1,0.5097052160928572,0.0009074505498842758,mi,,,0,,,0,0.0,0.0,0.0,4,2,1
GSM8K,instruct,Qwen3-4B-Instruct-2507-MLX-8bit,explicit_cot,2,1,Could the Powepuff Girls make the background to the Azerbaijani flag?,yes,no,0,44.01257109642029,701,0.0627854081261345,41,stop,1,0.48139074465551485,0.00018503748625780267,mi,,,0,,,0,0.0,0.0,0.0,4,2,1
GSM8K,instruct,Qwen3-4B-Instruct-2507-MLX-8bit,explicit_cot,3,1,Are eagles and young bears both used as labels for skills-training youth groups?,yes,no,0,31.177785873413086,490,0.06362813443553691,25,stop,1,0.41328056562181353,0.0006438983807378792,mi,,,0,,,0,1.0,0.0,-1.0,4,2,1
GSM8K,instruct,Qwen3-4B-Instruct-2507-MLX-8bit,explicit_cot,4,1,Would an Olympic athlete be tired out after running a mile?,no,no,1,27.533894777297974,440,0.06257703358476813,27,stop,1,0.49444562893608374,0.0003860257463415688,mi,,,0,,,0,0.5,1.0,0.5,4,2,1
GSM8K,instruct,Qwen3-4B-Instruct-2507-MLX-8bit,explicit_cot,5,1,Would a goblin shark eat at Crossroads Kitchen?,no,no,1,24.51879572868347,399,0.061450615861362086,27,stop,1,0.6065342067187097,0.0003101314993218402,mi,,,0,,,0,1.0,1.0,0.0,4,2,1
GSM8K,instruct,Qwen3-4B-Instruct-2507-MLX-8bit,explicit_cot,6,1,Was  Godfrey of Bouillon an Islamaphobe?,yes,no,0,31.298798084259033,491,0.06374500628158662,26,stop,1,0.5849152452240168,0.0004936966185342262,mi,,,0,,,0,0.0,0.0,0.0,4,2,1
GSM8K,instruct,Qwen3-4B-Instruct-2507-MLX-8bit,explicit_cot,7,1,Did Helen Keller ever read a novel by J. K. Rowling?,no,no,1,19.98235011100769,319,0.06264059595927175,36,stop,1,0.20345850763586756,0.000577257143973351,mi,,,0,,,0,1.0,1.0,0.0,4,2,1
GSM8K,instruct,Qwen3-4B-Instruct-2507-MLX-8bit,explicit_cot,8,1,Is Guitar Hero Beatles inappropriate for a US third grader?,no,no,1,28.76821231842041,461,0.062403931276400024,35,stop,1,0.5501588807320195,-1.931982991938614e-05,mi,,,0,,,0,1.0,1.0,0.0,4,2,1
GSM8K,instruct,Qwen3-4B-Instruct-2507-MLX-8bit,explicit_cot,9,1,Is CAS number 8009-03-8 harmful for a rash?,no,yes,0,28.226176023483276,477,0.059174373214849633,21,stop,1,0.392454571084611,0.0006480917024417908,mi,,,0,,,0,0.5,1.0,0.5,4,2,1
